seqnames,start,end,width,strand,gene_id
Transfer.PvP01_00_4.final,48973,50567,1595,-,PVP01_0002140
Transfer.PvP01_00_4.final,53703,53998,296,+,PVP01_0002150
Transfer.PvP01_00_4.final,57252,58195,944,+,PVP01_0002160
Transfer.PvP01_00_4.final,61112,62108,997,+,PVP01_0002170
Transfer.PvP01_00_4.final,65081,66566,1486,+,PVP01_0002180
Transfer.PvP01_00_4.final,70024,71269,1246,-,PVP01_0002190
Transfer.PvP01_00_4.final,73665,75408,1744,-,PVP01_0002200
Transfer.PvP01_00_4.final,76348,79185,2838,+,PVP01_0002210
Transfer.PvP01_00_4.final,81190,81732,543,+,PVP01_0002220
Transfer.PvP01_00_4.final,83135,83614,480,+,PVP01_0002230
Transfer.PvP01_00_4.final,90126,91723,1598,+,PVP01_0002240
Transfer.PvP01_00_4.final,94309,95115,807,+,PVP01_0002250
Transfer.PvP01_00_4.final,98185,98886,702,+,PVP01_0002260
Transfer.PvP01_00_4.final,102063,103057,995,+,PVP01_0002270
Transfer.PvP01_00_4.final,105938,106874,937,+,PVP01_0002280
Transfer.PvP01_00_4.final,111440,112652,1213,-,PVP01_0002290
Transfer.PvP01_00_4.final,115698,116229,532,-,PVP01_0002300
Transfer.PvP01_00_4.final,120364,122018,1655,-,PVP01_0002310
Transfer.PvP01_00_4.final,125202,127241,2040,-,PVP01_0002320
Transfer.PvP01_00_4.final,129016,130705,1690,+,PVP01_0002330
Transfer.PvP01_00_4.final,133893,134883,991,+,PVP01_0002340
Transfer.PvP01_00_4.final,137677,138515,839,+,PVP01_0002350
Transfer.PvP01_00_4.final,142143,143355,1213,-,PVP01_0002360
Transfer.PvP01_00_4.final,148265,149603,1339,-,PVP01_0002370
Transfer.PvP01_00_4.final,153408,155039,1632,-,PVP01_0002380
Transfer.PvP01_00_4.final,158078,159617,1540,-,PVP01_0002390
Transfer.PvP01_00_4.final,162597,164315,1719,+,PVP01_0002400
Transfer.PvP01_00_5.final,3325,4318,994,+,PVP01_0002410
Transfer.PvP01_00_5.final,7764,9029,1266,+,PVP01_0002420
Transfer.PvP01_00_5.final,11966,13126,1161,+,PVP01_0002430
Transfer.PvP01_00_5.final,15007,16076,1070,+,PVP01_0002440
Transfer.PvP01_00_5.final,17759,18685,927,-,PVP01_0002450
Transfer.PvP01_00_5.final,21394,22307,914,-,PVP01_0002460
Transfer.PvP01_00_5.final,25920,26888,969,-,PVP01_0002470
Transfer.PvP01_00_5.final,32320,33736,1417,+,PVP01_0002480
Transfer.PvP01_00_5.final,36795,38084,1290,+,PVP01_0002490
Transfer.PvP01_00_5.final,41106,42913,1808,+,PVP01_0002500
Transfer.PvP01_00_5.final,45573,47162,1590,+,PVP01_0002510
Transfer.PvP01_00_5.final,50303,51272,970,-,PVP01_0002520
Transfer.PvP01_00_5.final,59458,62568,3111,+,PVP01_0002530
Transfer.PvP01_00_5.final,71302,73166,1865,+,PVP01_0002540
Transfer.PvP01_00_5.final,77304,78265,962,-,PVP01_0002550
Transfer.PvP01_00_5.final,81150,82146,997,-,PVP01_0002560
Transfer.PvP01_00_5.final,84220,85194,975,-,PVP01_0002570
Transfer.PvP01_00_5.final,88529,89394,866,-,PVP01_0002580
Transfer.PvP01_00_5.final,91640,92593,954,-,PVP01_0002590
Transfer.PvP01_00_5.final,95882,96887,1006,-,PVP01_0002600
Transfer.PvP01_00_5.final,100115,101088,974,-,PVP01_0002610
Transfer.PvP01_00_5.final,104615,105478,864,-,PVP01_0002620
Transfer.PvP01_00_5.final,107647,108617,971,-,PVP01_0002630
Transfer.PvP01_00_5.final,112083,112894,812,-,PVP01_0002640
Transfer.PvP01_00_5.final,116970,117832,863,-,PVP01_0002650
Transfer.PvP01_00_5.final,120258,121195,938,-,PVP01_0002660
Transfer.PvP01_00_5.final,124584,125552,969,-,PVP01_0002670
Transfer.PvP01_00_5.final,129085,130100,1016,-,PVP01_0002680
Transfer.PvP01_00_5.final,133506,134272,767,-,PVP01_0002690
Transfer.PvP01_00_5.final,137839,138681,843,-,PVP01_0002700
Transfer.PvP01_00_5.final,141807,144700,2894,-,PVP01_0002710
Transfer.PvP01_00_5.final,147506,148885,1380,+,PVP01_0002720
Transfer.PvP01_00_6.final,5940,7730,1791,-,PVP01_0002730
Transfer.PvP01_00_6.final,10152,11533,1382,-,PVP01_0002740
Transfer.PvP01_00_6.final,13413,14474,1062,+,PVP01_0002750
Transfer.PvP01_00_6.final,18196,19668,1473,+,PVP01_0002760
Transfer.PvP01_00_6.final,22339,23250,912,+,PVP01_0002770
Transfer.PvP01_00_6.final,25477,26454,978,+,PVP01_0002780
Transfer.PvP01_00_6.final,28329,29754,1426,-,PVP01_0002790
Transfer.PvP01_00_6.final,31974,32459,486,-,PVP01_0002800
Transfer.PvP01_00_6.final,34586,35933,1348,-,PVP01_0002810
Transfer.PvP01_00_6.final,41070,42755,1686,-,PVP01_0002820
Transfer.PvP01_00_6.final,44500,45822,1323,-,PVP01_0002830
Transfer.PvP01_00_6.final,49989,50957,969,-,PVP01_0002840
Transfer.PvP01_00_6.final,51650,53091,1442,-,PVP01_0002850
Transfer.PvP01_00_6.final,55899,56992,1094,-,PVP01_0002860
Transfer.PvP01_00_6.final,63493,64301,809,+,PVP01_0002870
Transfer.PvP01_00_6.final,67312,68561,1250,-,PVP01_0002880
Transfer.PvP01_00_6.final,72389,73568,1180,-,PVP01_0002890
Transfer.PvP01_00_6.final,75184,77129,1946,-,PVP01_0002900
Transfer.PvP01_00_6.final,80399,81696,1298,-,PVP01_0002910
Transfer.PvP01_00_6.final,86074,87365,1292,-,PVP01_0002920
Transfer.PvP01_00_6.final,89502,91127,1626,-,PVP01_0002930
Transfer.PvP01_00_6.final,93719,95094,1376,-,PVP01_0002940
Transfer.PvP01_00_6.final,97878,98849,972,+,PVP01_0002950
Transfer.PvP01_00_6.final,102298,103181,884,+,PVP01_0002960
Transfer.PvP01_00_6.final,106259,106714,456,+,PVP01_0002970
Transfer.PvP01_00_6.final,110987,111886,900,+,PVP01_0002980
Transfer.PvP01_00_6.final,115221,116216,996,+,PVP01_0002990
Transfer.PvP01_00_6.final,120788,121996,1209,-,PVP01_0003000
Transfer.PvP01_00_6.final,125015,126327,1313,-,PVP01_0003010
Transfer.PvP01_00_6.final,135829,137821,1993,-,PVP01_0003020
Transfer.PvP01_00_6.final,140886,142095,1210,-,PVP01_0003030
Transfer.PvP01_00_6.final,145140,146288,1149,-,PVP01_0003040
Transfer.PvP01_00_7.final,332,1170,839,-,PVP01_0003050
Transfer.PvP01_00_7.final,5250,7492,2243,+,PVP01_0003060
Transfer.PvP01_00_7.final,9642,10976,1335,-,PVP01_0003070
Transfer.PvP01_00_7.final,17884,19024,1141,-,PVP01_0003080
Transfer.PvP01_00_7.final,21586,23222,1637,-,PVP01_0003090
Transfer.PvP01_00_7.final,26394,27538,1145,-,PVP01_0003100
Transfer.PvP01_00_7.final,34511,35338,828,+,PVP01_0003110
Transfer.PvP01_00_7.final,37178,38012,835,+,PVP01_0003120
Transfer.PvP01_00_7.final,39744,41380,1637,-,PVP01_0003130
Transfer.PvP01_00_7.final,44826,45539,714,+,PVP01_0003140
Transfer.PvP01_00_7.final,49491,51875,2385,+,PVP01_0003150
Transfer.PvP01_00_7.final,55131,56017,887,+,PVP01_0003160
Transfer.PvP01_00_7.final,59326,59909,584,+,PVP01_0003170
Transfer.PvP01_00_7.final,62987,63932,946,+,PVP01_0003180
Transfer.PvP01_00_7.final,67479,68219,741,+,PVP01_0003190
Transfer.PvP01_00_7.final,71625,72609,985,+,PVP01_0003200
Transfer.PvP01_00_7.final,75953,77114,1162,-,PVP01_0003210
Transfer.PvP01_00_7.final,80868,82199,1332,-,PVP01_0003220
Transfer.PvP01_00_7.final,85049,86698,1650,-,PVP01_0003230
Transfer.PvP01_00_7.final,92995,94404,1410,-,PVP01_0003240
Transfer.PvP01_00_7.final,96644,97917,1274,-,PVP01_0003250
Transfer.PvP01_00_7.final,99498,101269,1772,-,PVP01_0003260
Transfer.PvP01_00_7.final,107850,109442,1593,-,PVP01_0003270
Transfer.PvP01_00_7.final,112573,113930,1358,-,PVP01_0003280
Transfer.PvP01_00_7.final,115945,116898,954,+,PVP01_0003290
Transfer.PvP01_00_7.final,120070,121056,987,+,PVP01_0003300
Transfer.PvP01_00_7.final,124788,125748,961,+,PVP01_0003310
Transfer.PvP01_00_7.final,129929,132881,2953,-,PVP01_0003320
Transfer.PvP01_00_7.final,134539,135793,1255,+,PVP01_0003330
Transfer.PvP01_00_8.final,382,1378,997,-,PVP01_0003340
Transfer.PvP01_00_8.final,4631,6614,1984,-,PVP01_0003350
Transfer.PvP01_00_8.final,10467,12631,2165,+,PVP01_0003360
Transfer.PvP01_00_8.final,16665,17045,381,+,PVP01_0003370
Transfer.PvP01_00_8.final,17893,19454,1562,+,PVP01_0003380
Transfer.PvP01_00_8.final,20185,20999,815,+,PVP01_0003390
Transfer.PvP01_00_8.final,24903,26294,1392,+,PVP01_0003400
Transfer.PvP01_00_8.final,32713,33884,1172,+,PVP01_0003410
Transfer.PvP01_00_8.final,37335,39498,2164,+,PVP01_0003420
Transfer.PvP01_00_8.final,43371,44792,1422,+,PVP01_0003430
Transfer.PvP01_00_8.final,47826,48835,1010,+,PVP01_0003440
Transfer.PvP01_00_8.final,51698,52594,897,-,PVP01_0003450
Transfer.PvP01_00_8.final,55263,56289,1027,-,PVP01_0003460
Transfer.PvP01_00_8.final,58631,59566,936,-,PVP01_0003470
Transfer.PvP01_00_8.final,65818,66933,1116,+,PVP01_0003480
Transfer.PvP01_00_8.final,69918,71265,1348,+,PVP01_0003490
Transfer.PvP01_00_8.final,74670,75996,1327,+,PVP01_0003500
Transfer.PvP01_00_8.final,77752,79094,1343,+,PVP01_0003510
Transfer.PvP01_00_8.final,82442,83782,1341,+,PVP01_0003520
Transfer.PvP01_00_8.final,86643,87996,1354,+,PVP01_0003530
Transfer.PvP01_00_8.final,91369,92970,1602,+,PVP01_0003540
Transfer.PvP01_00_8.final,95278,96221,944,-,PVP01_0003550
Transfer.PvP01_00_8.final,103259,104495,1237,+,PVP01_0003560
Transfer.PvP01_00_8.final,106040,107168,1129,-,PVP01_0003570
Transfer.PvP01_00_8.final,109537,110388,852,+,PVP01_0003580
Transfer.PvP01_00_8.final,112138,113278,1141,+,PVP01_0003590
Transfer.PvP01_00_8.final,115865,117132,1268,+,PVP01_0003600
Transfer.PvP01_00_8.final,121652,123184,1533,+,PVP01_0003610
Transfer.PvP01_00_8.final,125297,126602,1306,+,PVP01_0003620
Transfer.PvP01_00_8.final,130277,131384,1108,+,PVP01_0003630
Transfer.PvP01_00_8.final,135618,136930,1313,+,PVP01_0003640
Transfer.PvP01_00_9.final,3963,5296,1334,-,PVP01_0003650
Transfer.PvP01_00_9.final,9112,10601,1490,-,PVP01_0003660
Transfer.PvP01_00_9.final,13380,14588,1209,-,PVP01_0003670
Transfer.PvP01_00_9.final,18094,19241,1148,-,PVP01_0003680
Transfer.PvP01_00_9.final,21498,22768,1271,-,PVP01_0003690
Transfer.PvP01_00_9.final,26514,27754,1241,-,PVP01_0003700
Transfer.PvP01_00_9.final,30808,32344,1537,-,PVP01_0003710
Transfer.PvP01_00_9.final,34894,36593,1700,-,PVP01_0003720
Transfer.PvP01_00_9.final,39804,41171,1368,-,PVP01_0003730
Transfer.PvP01_00_9.final,45448,46611,1164,-,PVP01_0003740
Transfer.PvP01_00_9.final,48394,49974,1581,-,PVP01_0003750
Transfer.PvP01_00_9.final,54658,55928,1271,-,PVP01_0003760
Transfer.PvP01_00_9.final,61382,62558,1177,-,PVP01_0003770
Transfer.PvP01_00_9.final,65876,67221,1346,-,PVP01_0003780
Transfer.PvP01_00_9.final,74759,76055,1297,+,PVP01_0003790
Transfer.PvP01_00_9.final,79684,81003,1320,+,PVP01_0003800
Transfer.PvP01_00_9.final,83022,84224,1203,+,PVP01_0003810
Transfer.PvP01_00_9.final,86550,87642,1093,+,PVP01_0003820
Transfer.PvP01_00_9.final,91717,93013,1297,+,PVP01_0003830
Transfer.PvP01_00_9.final,96302,98107,1806,+,PVP01_0003840
Transfer.PvP01_00_9.final,99040,99828,789,+,PVP01_0003850
Transfer.PvP01_00_9.final,104604,105875,1272,+,PVP01_0003860
Transfer.PvP01_00_9.final,108300,109114,815,-,PVP01_0003870
Transfer.PvP01_00_9.final,115663,116755,1093,+,PVP01_0003880
Transfer.PvP01_00_9.final,120016,121290,1275,+,PVP01_0003890
Transfer.PvP01_00_9.final,123733,125029,1297,+,PVP01_0003900
